scores,labels,files
0.0043730754,0.0,LA_T_1199930
0.006078876,0.0,LA_T_1219386
0.0036097567,0.0,LA_T_1487560
0.012674225,0.0,LA_T_1569908
0.005329007,0.0,LA_T_1584182
0.012066858,0.0,LA_T_1585521
0.00798606,0.0,LA_T_1623473
0.006975323,0.0,LA_T_1667973
0.0043970537,0.0,LA_T_1756992
0.0073342295,0.0,LA_T_1792767
0.02447008,0.0,LA_T_1830509
0.0052638925,0.0,LA_T_1908512
0.014093915,0.0,LA_T_1923872
0.0069384906,0.0,LA_T_1931571
0.00658788,0.0,LA_T_1934754
0.010969066,0.0,LA_T_2043279
0.009303888,0.0,LA_T_2130583
0.011660169,0.0,LA_T_2147641
0.004302271,0.0,LA_T_2216602
0.010272669,0.0,LA_T_2217523
0.006803464,0.0,LA_T_2520647
0.008939754,0.0,LA_T_2618051
0.0058603743,0.0,LA_T_2675422
0.0056141503,0.0,LA_T_2699884
0.006772817,0.0,LA_T_2925763
0.007713934,0.0,LA_T_3026804
0.008359304,0.0,LA_T_3068473
0.0053806645,0.0,LA_T_3119779
0.008796936,0.0,LA_T_3171621
0.01015004,0.0,LA_T_3208992
0.004198833,0.0,LA_T_3226167
0.0042641344,0.0,LA_T_3301728
0.0070929145,0.0,LA_T_3324636
0.011466013,0.0,LA_T_3362906
0.0040133838,0.0,LA_T_3513521
0.007368961,0.0,LA_T_3517928
0.015208926,0.0,LA_T_3524074
0.0103469975,0.0,LA_T_3583591
0.004562195,0.0,LA_T_3611811
0.0036980568,0.0,LA_T_3659915
0.009236315,0.0,LA_T_3661578
0.0050596455,0.0,LA_T_3704574
0.006495146,0.0,LA_T_3748161
0.008381983,0.0,LA_T_3782527
0.0073376186,0.0,LA_T_3915181
0.0058419183,0.0,LA_T_3925776
0.011690685,0.0,LA_T_3963536
0.005307405,0.0,LA_T_4068159
0.011442321,0.0,LA_T_4169604
0.00712611,0.0,LA_T_4198628
0.005225311,0.0,LA_T_4210946
0.008072523,0.0,LA_T_4369129
0.006111322,0.0,LA_T_4451463
0.035274513,0.0,LA_T_4481879
0.0045948406,0.0,LA_T_4486316
0.0058464813,0.0,LA_T_4638884
0.060950425,0.0,LA_T_4710044
0.0082306545,0.0,LA_T_4710920
0.0047980966,0.0,LA_T_4740750
0.0060215923,0.0,LA_T_4769298
0.0050238473,0.0,LA_T_4772321
0.004789202,0.0,LA_T_4817040
0.0035530208,0.0,LA_T_4860349
0.009785576,0.0,LA_T_4940666
0.011786992,0.0,LA_T_4991041
0.01629656,0.0,LA_T_5043225
0.0055604326,0.0,LA_T_5103637
0.007905889,0.0,LA_T_5167256
0.007469822,0.0,LA_T_5353096
0.0049982066,0.0,LA_T_5408992
0.012302785,0.0,LA_T_5443164
0.004119852,0.0,LA_T_5533183
0.006533085,0.0,LA_T_5599339
0.0054284725,0.0,LA_T_5787857
0.007150625,0.0,LA_T_5890305
0.007377654,0.0,LA_T_6058119
0.0039905226,0.0,LA_T_6078773
0.0057932553,0.0,LA_T_6253524
0.007266079,0.0,LA_T_6368265
0.007644575,0.0,LA_T_6441166
0.006587537,0.0,LA_T_6496177
0.008587873,0.0,LA_T_6551574
0.00590745,0.0,LA_T_6554775
0.0037147172,0.0,LA_T_6632006
0.0050725234,0.0,LA_T_6666532
0.0052003562,0.0,LA_T_6726155
0.0120225195,0.0,LA_T_6766056
0.0064377394,0.0,LA_T_6774071
0.00902999,0.0,LA_T_6795804
0.0073954356,0.0,LA_T_6835345
0.005780504,0.0,LA_T_6946670
0.0047832215,0.0,LA_T_7220833
0.0056829853,0.0,LA_T_7278711
0.0055994303,0.0,LA_T_7327413
0.004943295,0.0,LA_T_7367042
0.00501989,0.0,LA_T_7468662
0.005947014,0.0,LA_T_7667225
0.006085991,0.0,LA_T_7696598
0.00683255,0.0,LA_T_7815754
0.005282236,0.0,LA_T_7816568
0.0117507065,0.0,LA_T_7851926
0.0120129865,0.0,LA_T_8038233
0.011468938,0.0,LA_T_8040847
0.0072980677,0.0,LA_T_8147741
0.008644419,0.0,LA_T_8193150
0.008517977,0.0,LA_T_8219979
0.006341863,0.0,LA_T_8230959
0.0054884884,0.0,LA_T_8337767
0.0070764455,0.0,LA_T_8374631
0.008954959,0.0,LA_T_8448396
0.0051219207,0.0,LA_T_8522600
0.008346672,0.0,LA_T_8597023
0.010980333,0.0,LA_T_8597829
0.015494822,0.0,LA_T_8639914
0.0122475205,0.0,LA_T_8705208
0.0041008345,0.0,LA_T_8793633
0.013610647,0.0,LA_T_8806097
0.008111447,0.0,LA_T_8970804
0.0048023565,0.0,LA_T_9075670
0.006970357,0.0,LA_T_9101277
0.01880302,0.0,LA_T_9390369
0.013834578,0.0,LA_T_9392229
0.02773423,0.0,LA_T_9408141
0.006600012,0.0,LA_T_9502120
0.009712278,0.0,LA_T_9634249
0.013102846,0.0,LA_T_9675042
0.0053080544,0.0,LA_T_9728429
0.0040849145,0.0,LA_T_9772981
0.023959871,0.0,LA_T_9778924
0.006528846,0.0,LA_T_9884197
0.0072468086,0.0,LA_T_9955851
0.024871549,0.0,LA_T_9983805
0.009426845,0.0,LA_T_1031233
0.013265253,0.0,LA_T_1126222
0.054768223,0.0,LA_T_1188742
0.009605278,0.0,LA_T_1197695
0.010119492,0.0,LA_T_1261884
0.015121935,0.0,LA_T_1269847
0.1522742,0.0,LA_T_1504888
0.016988335,0.0,LA_T_1555189
0.020599153,0.0,LA_T_1662467
0.031352323,0.0,LA_T_1678844
0.02944498,0.0,LA_T_1745865
0.0046265703,0.0,LA_T_1785278
0.010367741,0.0,LA_T_1793666
0.013846155,0.0,LA_T_1864383
0.023294356,0.0,LA_T_1873366
0.025292618,0.0,LA_T_1897788
0.0051143114,0.0,LA_T_1914243
0.022766411,0.0,LA_T_1933449
0.034003075,0.0,LA_T_2193944
0.03972556,0.0,LA_T_2226656
0.009330812,0.0,LA_T_2304357
0.045696773,0.0,LA_T_2347217
0.01702657,0.0,LA_T_2376874
0.08758992,0.0,LA_T_2406356
0.013795553,0.0,LA_T_2419538
0.009419528,0.0,LA_T_2476165
0.056206405,0.0,LA_T_2535749
0.026902614,0.0,LA_T_2560383
0.11815018,0.0,LA_T_2709262
0.13519,0.0,LA_T_2824772
